"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5"
"98","Citizen X","TV Movie","Drama",105,"R","HBO Video",1995,2,25,2000,7,11,7.7,11477,"Fresh",86,"Upright",86,"no","no","no","no","no","no","Chris Gerolmo","Stephen Rea","Donald Sutherland","Jeffrey DeMunn","Max von Sydow","Joss Ackland"
"99","The Comebacks","Feature Film","Comedy",84,"PG-13","Fox Atomic",2007,10,19,2008,1,29,4.1,9853,"Rotten",9,"Spilled",33,"no","no","no","no","no","no","Tom Brady","David Koechner","Carl Weathers","Melora Hardin","Matthew Lawrence","Brooke Nevin"
"100","The Other Woman","Feature Film","Drama",102,"R","IFC Films",2011,2,4,2011,5,17,6.4,14970,"Rotten",39,"Spilled",45,"no","no","no","yes","no","no","Don Roos","Natalie Portman","Lisa Kudrow","Scott Cohen","Charlie Tahan","Lauren Ambrose"
"101","Pusher III: I'm the Angel of Death","Feature Film","Drama",90,"R","Nordisk Film Biografdistributi",2005,9,2,2006,11,7,7.3,9001,"Fresh",92,"Upright",81,"no","no","no","no","no","no","Nicolas Winding Refn","Zlatko Buric","Zlatko Burik","Marinela Dekic","Ilyas Agac","Slavko Labovic"
"102","Two for the Money","Feature Film","Drama",122,"R","Universal Pictures",2005,10,7,2006,1,17,6.2,35868,"Rotten",22,"Spilled",48,"no","no","yes","no","no","no","D.J. Caruso","Al Pacino","Matthew McConaughey","Rene Russo","Armand Assante","Jeremy Piven"
"103","Star Trek V - The Final Frontier","Feature Film","Action & Adventure",107,"PG","Paramount Pictures",1989,6,9,1999,4,20,5.4,41767,"Rotten",21,"Spilled",24,"no","no","no","no","no","no","William Shatner","William Shatner","Leonard Nimoy","DeForest Kelley","James Doohan","Walter Koenig"
"104","Cop & 1/2","Feature Film","Comedy",97,"PG","MCA Universal Home Video",1993,4,2,1999,1,5,3.8,6954,"Rotten",17,"Spilled",35,"no","no","no","no","no","no","Henry Winkler","Burt Reynolds","Norman D. Golden II","Ruby Dee","Holland Taylor","Ray Sharkey"
"105","Cousins","Feature Film","Drama",109,"PG-13","Paramount Home Video",1989,1,1,2002,1,15,6.2,3467,"Rotten",50,"Upright",69,"no","no","no","no","no","no","Joel Schumacher","Ted Danson","Isabella Rossellini","Sean Young","William L. Petersen","Lloyd Bridges"
"106","Spy Game","Feature Film","Drama",126,"R","Universal Pictures",2001,11,21,2002,4,16,7,117688,"Fresh",66,"Upright",75,"no","no","no","no","no","no","Tony Scott","Robert Redford","Brad Pitt","Catherine McCormack","Stephen Dillane","Larry Bryggman"
"107","Held Up","Feature Film","Comedy",89,"PG-13","Trimark",2000,5,12,2000,8,29,5.1,2817,"Rotten",17,"Spilled",43,"no","no","yes","no","no","no","Steve Rash","Jamie Foxx","Nia Long","Barry Corbin","John Cullum","Jake Busey"
"108","Striking Distance","Feature Film","Mystery & Suspense",102,"R","Sony Pictures Home Entertainment",1993,9,17,2001,3,6,5.8,32751,"Rotten",14,"Spilled",35,"no","no","no","no","no","no","Rowdy Herrington","Bruce Willis","Tom Sizemore","Sarah Jessica Parker","Brion James","Dennis Farina"
"109","One Night With the King","Feature Film","Drama",123,"PG","Gener8Xion Entertainment",2006,10,13,2007,1,30,6.3,5704,"Rotten",19,"Upright",78,"no","no","no","no","no","no","Michael O. Sajbel","Peter O'Toole","Tiffany Dupont","Omar Sharif","Luke Goss","John Rhys-Davies"
"110","Lethal Weapon 4","Feature Film","Action & Adventure",127,"R","Warner Home Video",1998,7,10,2001,6,5,6.6,123989,"Rotten",52,"Upright",64,"no","no","no","no","no","no","Richard Donner","Danny Glover","Mel Gibson","Chris Rock","Jet Li","Joe Pesci"
"111","101 Dalmatians","Feature Film","Action & Adventure",103,"G","Buena Vista Pictures",1996,11,29,1998,4,21,5.6,70209,"Rotten",38,"Spilled",40,"no","no","no","no","no","yes","Stephen Herek","Glenn Close","Jeff Daniels","Joely Richardson","Joan Plowright","Hugh Laurie"
"112","Bhutto","Documentary","Documentary",111,"Unrated","First Run Entertainment",2010,12,3,2011,5,10,7.8,541,"Fresh",86,"Upright",88,"no","no","no","no","no","no","Duane Baughman","Tariq Ali","Reza Aslan","Diana Aveni","Benazir Bhutto","Fatima Bhutto"
"113","Deep Impact","Feature Film","Drama",120,"PG-13","Paramount Pictures",1998,5,8,1998,12,15,6.1,132215,"Rotten",48,"Spilled",43,"no","no","yes","no","no","no","Mimi Leder","Robert Duvall","Tea Leoni","Elijah Wood","Vanessa Redgrave","Maximilian Schell"
"114","Shoot 'Em Up","Feature Film","Drama",86,"R","New Line Cinema",2007,9,7,2008,1,1,6.7,127458,"Fresh",67,"Upright",65,"no","no","no","no","no","no","Michael Davis","Clive Owen","Paul Giamatti","Monica Bellucci","Stephen McHattie","Greg Bryk"
"115","The Room","Feature Film","Drama",99,"R","Chloe Productions",2003,6,27,2005,12,17,3.5,27769,"Rotten",35,"Spilled",46,"no","no","no","no","no","no","Tommy Wiseau","Tommy Wiseau","Juliette Danielle","Greg Sestero","Philip Haldiman","Carolyn Minnott"
"116","Made of Honor","Feature Film","Comedy",101,"PG-13","Sony Pictures/Columbia",2008,5,2,2008,9,16,5.8,52635,"Rotten",14,"Spilled",55,"no","no","no","no","no","no","Paul Weiland","Patrick Dempsey","Michelle Monaghan","Kevin Mckidd","Kathleen Quinlan","Sydney Pollack"
"117","The Longest Yard","Feature Film","Drama",121,"R","Paramount Home Video",1974,8,30,2001,1,30,7.1,12819,"Fresh",81,"Upright",75,"no","no","no","no","no","no","Robert Aldrich","Burt Reynolds","Eddie Albert","Ed Lauter","Michael Conrad","Malcolm Atterbury"
"118","Dirty Love","Feature Film","Comedy",91,"R","First Look",2005,9,23,2005,12,6,3.5,6054,"Rotten",4,"Upright",67,"no","no","no","no","no","no","John Mallory Asher","Jenny McCarthy","Carmen Electra","Eddie Kaye Thomas","Kathy Griffin","Kam Heskin"
"119","Berberian Sound Studio","Feature Film","Horror",92,"Unrated","IFC Films",2013,6,14,2013,12,10,6.2,9367,"Certified Fresh",84,"Spilled",54,"no","no","no","no","no","no","Peter Strickland","Toby Jones","Cosimo Fusco","Guido Adorni","Fatma Mohamed","Eugenia Caruso"
"120","A Good Old Fashioned Orgy","Feature Film","Comedy",95,"R","Samuel Goldwyn Films",2011,9,2,2011,12,27,6.2,17798,"Rotten",32,"Spilled",41,"no","no","no","no","no","no","Alex Gregory","Jason Sudeikis","Leslie Bibb","Lake Bell","Michelle Borth","Nick Kroll"
"121","May","Feature Film","Drama",93,"R","Lionsgate Releasing",2003,6,6,2003,7,15,6.7,26010,"Fresh",69,"Upright",75,"no","no","no","no","no","no","Lucky McKee","Angela Bettis","Jeremy Sisto","Anna Faris","James Duval","Nichole M. Hiltz"
"122","Any Day Now","Feature Film","Drama",98,"R","Music Box Films",2012,12,14,2013,4,23,7.5,4515,"Certified Fresh",79,"Upright",76,"no","no","no","no","no","no","Travis Fine","Alan Cumming","Garret Dillahunt","Isaac Leyva","Gregg Henry","Frances Fisher"
"123","Africa: The Serengeti","Documentary","Documentary",39,"Unrated","Houston Museum of Natural Scie",1994,4,8,1998,11,18,7.3,535,"Fresh",100,"Upright",74,"no","no","no","no","no","no","George Casey","James Earl Jones",NA,NA,NA,NA
"124","Grosse Pointe Blank","Feature Film","Drama",107,"R","Buena Vista Internationa",1997,4,11,1998,5,19,7.4,71572,"Certified Fresh",79,"Upright",87,"no","no","no","no","no","no","George Armitage","John Cusack","Minnie Driver","Dan Aykroyd","Alan Arkin","Joan Cusack"
"125","Jack and Jill","Feature Film","Comedy",91,"PG","Sony Pictures",2011,11,11,2012,3,6,3.4,57933,"Rotten",3,"Spilled",37,"no","no","yes","no","no","no","Dennis Dugan","Adam Sandler","Al Pacino","Katie Holmes","Elodie Tougne","Rohan Chand"
"126","Sherman's March","Documentary","Documentary",157,"Unrated","First Run Features",1986,9,5,2004,4,6,7.5,1784,"Fresh",100,"Upright",86,"no","no","no","no","no","no","Ross McElwee","Charleen Swansea","Richard Leacock","Burt Reynolds","Charleen Swansea","Ross McElwee"
"127","The Ninth Configuration (Twinkle, Twinkle, Killer Kane)","Feature Film","Drama",118,"R","Warner Bros.",1980,2,29,2002,9,17,7.2,3883,"Fresh",70,"Upright",79,"no","no","no","no","no","no","William Peter Blatty","Stacy Keach","Scott Wilson","Jason Miller","Ed Flanders","Neville Brand"
"128","Mr. & Mrs. Bridge","Feature Film","Drama",126,"PG-13","Miramax Films",1990,11,23,2001,2,13,6.7,2282,"Fresh",80,"Spilled",42,"no","no","yes","yes","no","no","James Ivory","Paul Newman","Joanne Woodward","Blythe Danner","Robert Sean Leonard","Kyra Sedgwick"
"129","Space Jam","Feature Film","Comedy",88,"PG","Warner Home Video",1996,11,15,1997,8,27,6.3,105745,"Rotten",36,"Upright",63,"no","no","no","no","no","no","Joe Pytka","Michael Jordan","Charles Barkley","Patrick Ewing","Muggsy Bogues","Patrick Ewing"
"130","Spring Breakers","Feature Film","Drama",94,"R","A24 Films",2013,3,22,2013,7,9,5.3,104457,"Fresh",66,"Spilled",38,"no","no","no","no","no","no","Harmony Korine","Selena Gomez","James Franco","Ashley Benson","Rachel Korine","Vanessa Hudgens"
"131","Fantastic Four: Rise of the Silver Surfer","Feature Film","Action & Adventure",92,"PG","20th Century Fox",2007,6,15,2007,10,2,5.6,205065,"Rotten",37,"Spilled",51,"no","no","no","no","no","no","Tim Story","Ioan Gruffudd","Jessica Alba","Chris Evans","Michael Chiklis","Julian McMahon"
"132","The Hangover","Feature Film","Comedy",100,"R","Warner Bros. Pictures",2009,6,5,2009,12,15,7.8,562136,"Certified Fresh",79,"Upright",84,"no","no","no","no","no","yes","Todd Phillips","Bradley Cooper","Ed Helms","Zach Galifianakis","Justin Bartha","Heather Graham"
"133","The Shaggy D.A.","Feature Film","Comedy",91,"G","Walt Disney Productions",1976,12,17,2006,3,7,5.7,1778,"Rotten",50,"Spilled",44,"no","no","no","no","no","no","Robert Stevenson","Dean Jones","Keenan Wynn","Tim Conway","Suzanne Pleshette","Jo Ann Worley"
"134","Orca - The Killer Whale","Feature Film","Drama",92,"PG","Paramount Pictures",1977,7,15,2004,9,14,5.6,7628,"Rotten",15,"Spilled",33,"no","no","no","no","no","no","Michael Anderson","Richard Harris","Charlotte Rampling","Keenan Wynn","Will Sampson","Bo Derek"
"135","Tang shan da xiong (Fists of Fury) (The Big Boss)","Feature Film","Drama",100,"R","National General Pictures",1972,4,1,2005,12,13,7.1,17934,"Fresh",60,"Upright",74,"no","no","no","no","no","no","Wei Lo","Bruce Lee","Maria Yi","Nora Miao","James Tien","Mao Ker Hsiu"
"136","The Story Of Luke","Feature Film","Drama",96,"Unrated","Gravitas Ventures",2013,4,5,2013,8,6,7.3,2502,"Fresh",80,"Upright",78,"no","no","no","no","no","no","Alonso Mayo","Lou Taylor Pucci","Seth Green","Cary Elwes","Kristin Bauer van Straten","Kenneth Welsh"
"137","New York, New York","Feature Film","Drama",155,"PG","MGM Home Entertainment",1977,6,22,2005,2,8,6.7,13092,"Fresh",67,"Spilled",59,"no","no","yes","yes","yes","no","Martin Scorsese","Liza Minnelli","Robert De Niro","Lionel Stander","Barry Primus","Mary Kay Place"
"138","Sinbad and the Eye of the Tiger","Feature Film","Action & Adventure",113,"G","Columbia Pictures",1977,1,1,2000,7,11,6.3,4687,"Fresh",63,"Spilled",55,"no","no","no","no","no","no","Sam Wanamaker","Patrick Wayne","Taryn Power","Margaret Whiting","Jane Seymour","Patrick Troughton"
"139","K-19: The Widowmaker","Feature Film","Drama",138,"PG-13","Paramount Pictures",2002,7,19,2002,12,10,6.6,48137,"Fresh",60,"Spilled",52,"no","no","no","no","yes","no","Kathryn Bigelow","Harrison Ford","Liam Neeson","Peter Sarsgaard","Christian Camargo","Joss Ackland"
"140","What's Eating Gilbert Grape","Feature Film","Drama",118,"PG-13","Paramount Pictures",1993,12,25,2001,11,17,7.8,164112,"Certified Fresh",89,"Upright",89,"no","no","no","no","no","no","Lasse Hallstrom","Johnny Depp","Leonardo DiCaprio","Juliette Lewis","Mary Steenburgen","Darlene Cates"
"141","Of Mice and Men","Feature Film","Drama",115,"PG-13","Metro-Goldwyn-Mayer Pictures",1992,10,2,2001,11,6,7.5,30921,"Fresh",96,"Upright",82,"yes","no","no","no","no","no","Gary Sinise","John Malkovich","Gary Sinise","Ray Walston","Casey Siemaszko","Sherilyn Fenn"
"142","In the Name of the King: A Dungeon Siege Tale","Feature Film","Action & Adventure",127,"PG-13","Freestyle Releasing",2006,11,3,2008,4,15,3.8,37640,"Rotten",4,"Spilled",22,"no","no","no","no","no","no","Uwe Boll","Jason Statham","Leelee Sobieski","John Rhys-Davies","Ron Perlman","Claire Forlani"
"143","Godzilla","Feature Film","Mystery & Suspense",123,"PG-13","Warner Bros Pictures",2014,5,16,2014,9,16,6.5,289825,"Certified Fresh",74,"Upright",66,"no","no","no","no","no","no","Gareth Edwards","Aaron Taylor-Johnson","Elizabeth Olsen","Bryan Cranston","David Strathairn","Ken Watanabe"
"144","The Freshman","Feature Film","Drama",102,"PG","Sony Pictures Home Entertainment",1990,7,20,1998,6,30,6.5,15525,"Certified Fresh",93,"Upright",61,"no","no","yes","no","no","no","Andrew Bergman","Marlon Brando","Matthew Broderick","Bruno Kirby","Penelope Ann Miller","Frank Whaley"
"145","The Legend of Hercules","Feature Film","Action & Adventure",99,"PG-13","Lionsgate Films",2014,1,10,2014,4,29,4.2,43268,"Rotten",3,"Spilled",33,"no","no","no","no","no","no","Renny Harlin","Kellan Lutz","Liam McIntyre","Scott Adkins","Liam Garrigan","Johnathon Schaech"
"146","North Sea Hijack (ffolkes) (Assault Force)","Feature Film","Action & Adventure",100,"PG","Cinema Seven Productions Ltd",1980,4,18,2003,8,12,6.3,3153,"Rotten",33,"Spilled",43,"no","no","no","no","no","no","Andrew V. McLaglen","Roger Moore","James Mason","Anthony Perkins","Michael Parks","David Hedison"
"147","Texasville","Feature Film","Drama",123,"R","Cine-Source",1991,1,1,2002,9,17,6,1887,"Rotten",55,"Spilled",50,"no","no","yes","no","no","no","Peter Bogdanovich","Jeff Bridges","Cybill Shepherd","Annie Potts","Timothy Bottoms","Cloris Leachman"
"148","My Baby's Daddy","Feature Film","Comedy",86,"PG-13","Miramax Films",2004,1,9,2004,6,1,4.5,3096,"Rotten",4,"Spilled",49,"no","no","no","no","no","no","Cheryl Dunye","Anthony Anderson","Michael Imperioli","Paula Jai Parker","Joanna Bacalso","Ling Bai"
"149","Clerks II","Feature Film","Drama",97,"R","MGM",2006,7,21,2006,11,28,7.4,112216,"Fresh",63,"Upright",84,"no","no","no","no","no","no","Kevin Smith","Brian O'Halloran","Jeff Anderson","Rosario Dawson","Jason Mewes","Trevor Fehrman"
"150","White House Down","Feature Film","Drama",131,"PG-13","Sony Pictures",2013,6,28,2013,11,5,6.4,154674,"Rotten",51,"Upright",62,"no","no","yes","no","no","no","Roland Emmerich","Channing Tatum","Jamie Foxx","Maggie Gyllenhaal","Jason Clarke","Richard Jenkins"
"151","Flesh & Blood (Flesh+Blood) (The Rose and the Sword)","Feature Film","Drama",126,"R","MGM",1985,8,30,2004,2,3,6.7,12535,"Fresh",79,"Upright",63,"no","no","no","no","no","no","Paul Verhoeven","Rutger Hauer","Jennifer Jason Leigh","Tom Burlinson","Jack Thompson","Susan Tyrrell"
"152","Bastard out of Carolina","Feature Film","Drama",97,"R","Winstar",1996,12,15,2000,4,25,7.4,3363,"Fresh",100,"Upright",83,"no","no","no","no","no","no","Anjelica Huston","Jennifer Jason Leigh","Jena Malone","Ron Eldard","Dermot Mulroney","Glenne Headly"
"153","Red Dawn","Feature Film","Action & Adventure",114,"PG-13","MGM/UA",1984,8,10,2001,5,15,6.3,40659,"Rotten",53,"Upright",65,"no","no","no","no","no","no","John Milius","Patrick Swayze","C. Thomas Howell","Ron O'Neal","Lea Thompson","Jennifer Grey"
"154","Rescue Dawn","Feature Film","Drama",120,"PG-13","MGM",2007,7,27,2007,11,20,7.4,82378,"Certified Fresh",91,"Upright",74,"no","no","no","no","no","no","Werner Herzog","Christian Bale","Steve Zahn","Jeremy Davies","Marshall Bell","Teerawat Mulvilai"
"155","The Longshots","Feature Film","Drama",94,"PG","The Weinstein Company",2008,8,22,2008,12,2,5.1,3135,"Rotten",41,"Upright",61,"no","no","no","no","no","no","Fred Durst","Ice Cube","Keke Palmer","Tasha Smith","Jill Marie Jones","Dash Mihok"
"156","Blind Spot: Hitler's Secretary","Documentary","Documentary",90,"PG","Sony Pictures Classics",2002,10,10,2003,10,28,7.3,1489,"Certified Fresh",85,"Upright",70,"no","no","no","no","no","no","Andre Heller","Traudl Junge","Traudl Junge","James Franco","Shawn Montgomery","Mark Gleason"
"157","U-Turn","Feature Film","Drama",125,"R","Sony Pictures Home Entertainment",1997,10,3,1998,3,31,6.8,41385,"Rotten",59,"Upright",62,"no","no","yes","no","yes","no","Oliver Stone","Sean Penn","Nick Nolte","Jennifer Lopez","Powers Boothe","Claire Danes"
"158","Something's Gotta Give","Feature Film","Comedy",128,"PG-13","Sony Pictures",2003,12,12,2004,3,30,6.7,88523,"Fresh",71,"Upright",69,"no","no","yes","yes","no","no","Nancy Meyers","Jack Nicholson","Diane Keaton","Frances McDormand","Keanu Reeves","Amanda Peet"
"159","A Boy and His Dog","Feature Film","Drama",91,"R","eRealBiz",1975,3,1,2003,11,18,6.6,12221,"Fresh",75,"Upright",63,"no","no","no","no","no","no","L.Q. Jones","Don Johnson","Susanne Benton","Jason Robards","Tiger","Charles McGraw"
"160","Terror Train","Feature Film","Horror",97,"R","20th Century Fox Film Corporation",1980,1,1,2004,9,7,5.9,6304,"Rotten",36,"Spilled",39,"no","no","no","no","no","no","Roger Spottiswoode","Ben Johnson","Jamie Lee Curtis","David Copperfield","Hart Bochner","Derek McKinnon"
"161","Leatherface: The Texas Chainsaw Massacre III","Feature Film","Horror",85,"R","Sony Pictures Home Entertainment",1990,1,12,2003,10,7,5.1,9565,"Rotten",19,"Spilled",32,"no","no","no","no","no","no","Jeff Burr","Kate Hodge","Ken Foree","Viggo Mortensen","R.A. Mihailoff","Miriam Byrd-Nethery"
"162","Lorenzo's Oil","Feature Film","Drama",129,"PG-13","MCA Universal Home Video",1992,12,30,2004,4,6,7.2,15913,"Fresh",94,"Upright",79,"no","no","no","yes","no","no",NA,"Nick Nolte","Susan Sarandon","Peter Ustinov","Kathleen Wilhoite","Gerry Bamman"
"163","Conviction","Feature Film","Drama",107,"R","Fox Searchlight",2010,10,15,2011,2,1,7.2,33720,"Fresh",67,"Upright",70,"no","no","no","no","no","no","Tony Goldwyn","Sam Rockwell","Minnie Driver","Melissa Leo","Peter Gallagher","Ari Graynor"
"164","Kicking It","Documentary","Documentary",98,"Unrated","Liberation Entertainment",2008,6,13,2008,9,9,7.4,325,"Rotten",53,"Upright",71,"no","no","no","no","no","no","Jeff Werner","Colin Farrell","Brandon Francis",NA,NA,NA
"165","Vampire Hunter D: Bloodlust","Feature Film","Action & Adventure",103,"R","Urban Vision Entertainment",2001,9,21,2002,2,12,7.8,22245,"Fresh",72,"Upright",86,"no","no","no","no","no","no","Yoshiaki Kawajiri","Wendee Lee","Andrew Philpot","Pamela Segall","Toshihiko Seki","Megumi Hayashibara"
"166","Bounce","Feature Film","Drama",106,"PG-13","Miramax Films",2000,11,17,2001,4,10,5.7,17133,"Rotten",52,"Spilled",33,"no","no","no","yes","no","no","Don Roos","Ben Affleck","Gwyneth Paltrow","Tony Goldwyn","Alex D. Linz","David Dorfman"
"167","A Mighty Heart","Feature Film","Drama",108,"R","Paramount Vantage",2007,6,22,2007,10,16,6.7,23821,"Certified Fresh",79,"Upright",70,"no","no","no","no","no","no","Michael Winterbottom","Angelina Jolie","Dan Futterman","Archie Panjabi","Irfan Khan","Will Patton"
"168","Santa Sangre","Feature Film","Drama",123,"R","Republic Pictures Home Video",1990,6,1,1991,3,28,7.7,13285,"Fresh",85,"Upright",87,"no","no","no","no","no","no","Alejandro Jodorowsky","Sergio Bustamante","Adan Jodorowsky","Jesus Juarez","Axel Jodorowsky","Guy Stockwell"
"169","Resident Evil","Feature Film","Action & Adventure",100,"R","Columbia Tristar Pictures",2002,3,15,2002,7,30,6.7,192052,"Rotten",33,"Upright",68,"no","no","no","no","no","no","Paul W.S. Anderson","Milla Jovovich","Michelle Rodriguez","Eric Mabius","James Purefoy","Martin Crewes"
"170","Top Gun","Feature Film","Drama",110,"PG","Paramount Pictures",1986,5,16,1998,10,20,6.9,211129,"Rotten",54,"Upright",83,"no","no","no","no","no","yes","Tony Scott","Tom Cruise","Kelly McGillis","Anthony Edwards","Val Kilmer","Tom Skerritt"
"171","25th Hour","Feature Film","Drama",135,"R","Touchstone Pictures",2003,1,10,2003,5,20,7.7,146518,"Certified Fresh",78,"Upright",85,"no","no","yes","no","no","no","Spike Lee","Edward Norton","Barry Pepper","Philip Seymour Hoffman","Rosario Dawson","Anna Paquin"
"172","The Bad News Bears in Breaking Training","Feature Film","Comedy",100,"PG","Paramount Pictures",1977,7,8,2002,2,12,5.4,2239,"Rotten",50,"Spilled",39,"no","no","no","no","no","no","Michael Pressman","William Devane","Jackie Earle Haley","Clifton James","Jimmy Baio","Chris Barnes"
"173","Streets of Gold","Feature Film","Drama",95,"R","Live Home Video",1986,11,14,NA,NA,NA,6,486,"Rotten",31,"Spilled",44,"no","no","no","no","no","no","Joe Roth","Klaus Maria Brandauer","Adrian Pasdar","Richard Pasdar","Wesley Snipes","Angela Molina"
"174","The Mod Squad","Feature Film","Drama",92,"R","MGM",1999,3,26,1999,8,24,4.1,7658,"Rotten",4,"Spilled",17,"no","no","no","no","no","no","Scott Silver","Claire Danes","Giovanni Ribisi","Omar Epps","Josh Brolin","Dennis Farina"
"175","Where the Heart Is","Feature Film","Drama",107,"R","Touchstone Pictures",1990,1,1,2003,6,3,6.1,1268,"Rotten",11,"Spilled",58,"no","no","no","no","no","no","John Boorman","Dabney Coleman","Uma Thurman","Joanna Cassidy","Crispin Glover","Suzy Amis"
"176","Battlefield Earth","Feature Film","Action & Adventure",118,"PG-13","Warner Bros. Pictures",2000,5,12,2001,1,16,2.4,64119,"Rotten",3,"Spilled",11,"no","no","yes","no","no","no","Roger Christian","John Travolta","Barry Pepper","Forest Whitaker","Kim Coates","Richard Tyson"
"177","Osmosis Jones","Feature Film","Comedy",95,"PG","Warner Bros. Pictures",2001,8,10,2001,11,13,6.2,24678,"Rotten",55,"Spilled",41,"no","no","no","no","no","no","Bill Murray","Bill Murray","Chris Rock","Laurence Fishburne","David Hyde Pierce","William Shatner"
"178","Never Cry Wolf","Feature Film","Drama",105,"PG","Disney",1983,1,1,2000,2,22,7.6,6114,"Fresh",100,"Upright",85,"no","no","no","no","no","no","Carroll Ballard","Charles Martin Smith","Brian Dennehy","Zachary Ittimangnaq","Samson Jorah","Hugh Webster"
"179","A Good Woman","Feature Film","Drama",93,"PG","Lions Gate Films",2006,2,3,2006,6,13,6.5,9399,"Rotten",37,"Spilled",49,"no","no","no","yes","no","no","Mike Barker","Helen Hunt","Scarlett Johansson","Tom Wilkinson","Stephen Campbell Moore","Mark Umbers"
"180","Drive","Feature Film","Drama",100,"R","FilmDistrict",2011,9,16,2012,1,31,7.8,414650,"Certified Fresh",92,"Upright",79,"no","no","no","no","no","no","Nicolas Winding Refn","Ryan Gosling","Carey Mulligan","Albert Brooks","Bryan Cranston","Christina Hendricks"
"181","2 Days in the Valley","Feature Film","Drama",104,"R","HBO Video",1996,9,27,2001,8,7,6.5,15291,"Fresh",60,"Spilled",54,"no","no","no","yes","no","no","John Herzfeld","Danny Aiello","Greg Cruttwell","James Spader","Teri Hatcher","Charlize Theron"
"182","Married to It","Feature Film","Drama",112,"R","Orion Home Video",1993,3,26,2003,4,1,5.9,725,"Rotten",33,"Spilled",41,"no","no","no","no","no","no","Arthur Hiller","Beau Bridges","Stockard Channing","Robert Sean Leonard","Mary Stuart Masterson","Cybill Shepherd"
"183","Pay It Forward","Feature Film","Drama",123,"PG-13","Warner Bros. Pictures",2000,10,20,2001,5,15,7.1,93331,"Rotten",40,"Upright",77,"no","no","yes","yes","no","no","Mimi Leder","Kevin Spacey","Helen Hunt","Haley Joel Osment","Angie Dickinson","Jay Mohr"
"184","Topsy-Turvy","Feature Film","Drama",154,"R","October Films",1999,12,17,2000,6,20,7.4,9876,"Certified Fresh",89,"Upright",79,"no","no","no","no","no","no","Mike Leigh","Jim Broadbent","Allan Corduner","Alan Corduner","Timothy Spall","Lesley Manville"
"185","Beyond the Gates","Feature Film","Drama",115,"R","IFC First Take",2005,12,8,2007,9,18,7.7,9525,"Certified Fresh",84,"Upright",85,"no","no","no","no","no","no","Michael Caton-Jones","John Hurt","Hugh Dancy","Dominique Horwitz","Louis Mahoney","Nicola Walker"
"186","Top Secret!","Feature Film","Comedy",90,"PG","Paramount Home Video",1984,6,8,2002,7,16,7.2,44741,"Fresh",76,"Upright",80,"no","no","no","no","no","no","David Zucker","Val Kilmer","Omar Sharif","Lucy Gutteridge","Christopher Villiers","Peter Cushing"
"187","Gaza Strip","Documentary","Documentary",74,"Unrated","Arab Film Distribution",2002,1,1,2003,5,6,7.3,285,"Fresh",78,"Upright",89,"no","no","no","no","no","no","James Longley",NA,NA,NA,NA,NA
"188","Night and the City","Feature Film","Drama",105,"R","Twentieth Century Fox Home Entertainment",1992,10,11,1993,4,21,5.8,3673,"Fresh",67,"Spilled",31,"no","no","yes","yes","no","no","Irwin Winkler","Robert De Niro","Jessica Lange","Cliff Gorman","Alan King","Eli Wallach"
"189","Lockout (Unrated)","Feature Film","Action & Adventure",95,"PG-13","FilmDistrict",2012,4,13,2012,7,17,6.1,79970,"Rotten",38,"Spilled",46,"no","no","no","no","no","no","Stephen St. Leger","Guy Pearce","Maggie Grace","Vincent Regan","Peter Stormare","Lennie James"
"190","Orwell Rolls in His Grave","Documentary","Documentary",84,"Unrated","Sag Harbor-Basement Pictures",2003,10,23,2005,6,7,8.1,1058,"Fresh",79,"Upright",92,"no","no","no","no","no","no","Robert Kane Pappas","Robert Kane Pappas","Danny Schechter","Charles Lewis","Vincent Bugliosi","Michael Moore"
"191","Sunshine Cleaning","Feature Film","Comedy",91,"R","Overture Films",2009,3,13,2009,8,25,6.9,60220,"Certified Fresh",72,"Upright",62,"no","no","no","no","no","no","Christine Jeffs","Amy Adams","Emily Blunt","Alan Arkin","Jason Spevack","Steve Zahn"
"192","The Stupids","Feature Film","Comedy",94,"PG","New Line Home Entertainment",1996,9,6,2004,2,10,4.1,5591,"Rotten",21,"Spilled",36,"no","no","no","no","no","no","John Landis","Tom Arnold","Jessica Lundy","Bug Hall","Alex McKenna","Mark Metcalf"
"193","Better This World","Documentary","Documentary",82,"Unrated","Independent Pictures",2011,9,16,2012,7,24,7.3,340,"Fresh",100,"Upright",80,"no","no","no","no","no","no","Kelly Duane","Brad Crowder","David McKay","Brandon Darby","E.K. Wilson","Christopher Langert"
"194","Wimbledon","Feature Film","Drama",98,"PG-13","Universal Pictures",2004,9,17,2004,12,28,6.3,50340,"Fresh",60,"Spilled",57,"no","no","no","no","no","no","Richard Loncraine","Kirsten Dunst","Paul Bettany","Sam Neill","James McAvoy","Bernard Hill"
"195","B. Monkey","Feature Film","Drama",92,"R","Miramax",1999,9,10,2000,3,21,6,2934,"Fresh",61,"Spilled",55,"no","no","no","no","no","no","Michael Radford","Asia Argento","Jared Harris","Rupert Everett","Jonathan Rhys Meyers","Julie T. Wallace"
