country,year,population
New Zealand,1997,3676187
New Zealand,2002,3908037
New Zealand,2007,4115771
Nicaragua,1952,1165790
Nicaragua,1957,1358828
Nicaragua,1962,1590597
Nicaragua,1967,1865490
Nicaragua,1972,2182908
Nicaragua,1977,2554598
Nicaragua,1982,2979423
Nicaragua,1987,3344353
Nicaragua,1992,4017939
Nicaragua,1997,4609572
Nicaragua,2002,5146848
Nicaragua,2007,5675356
Niger,1952,3379468
Niger,1957,3692184
Niger,1962,4076008
Niger,1967,4534062
Niger,1972,5060262
Niger,1977,5682086
Niger,1982,6437188
Niger,1987,7332638
Niger,1992,8392818
Niger,1997,9666252
Niger,2002,11140655
Niger,2007,12894865
Nigeria,1952,33119096
Nigeria,1957,37173340
Nigeria,1962,41871351
Nigeria,1967,47287752
Nigeria,1972,53740085
Nigeria,1977,62209173
Nigeria,1982,73039376
Nigeria,1987,81551520
Nigeria,1992,93364244
Nigeria,1997,106207839
Nigeria,2002,119901274
Nigeria,2007,135031164
Norway,1952,3327728
Norway,1957,3491938
Norway,1962,3638919
Norway,1967,3786019
Norway,1972,3933004
Norway,1977,4043205
Norway,1982,4114787
Norway,1987,4186147
Norway,1992,4286357
Norway,1997,4405672
Norway,2002,4535591
Norway,2007,4627926
Oman,1952,507833
Oman,1957,561977
Oman,1962,628164
Oman,1967,714775
Oman,1972,829050
Oman,1977,1004533
Oman,1982,1301048
Oman,1987,1593882
Oman,1992,1915208
Oman,1997,2283635
Oman,2002,2713462
Oman,2007,3204897
Pakistan,1952,41346560
Pakistan,1957,46679944
Pakistan,1962,53100671
Pakistan,1967,60641899
Pakistan,1972,69325921
Pakistan,1977,78152686
Pakistan,1982,91462088
Pakistan,1987,105186881
Pakistan,1992,120065004
Pakistan,1997,135564834
Pakistan,2002,153403524
Pakistan,2007,169270617
Panama,1952,940080
Panama,1957,1063506
Panama,1962,1215725
Panama,1967,1405486
Panama,1972,1616384
Panama,1977,1839782
Panama,1982,2036305
Panama,1987,2253639
Panama,1992,2484997
Panama,1997,2734531
Panama,2002,2990875
Panama,2007,3242173
Paraguay,1952,1555876
Paraguay,1957,1770902
Paraguay,1962,2009813
Paraguay,1967,2287985
Paraguay,1972,2614104
Paraguay,1977,2984494
Paraguay,1982,3366439
Paraguay,1987,3886512
Paraguay,1992,4483945
Paraguay,1997,5154123
Paraguay,2002,5884491
Paraguay,2007,6667147
Peru,1952,8025700
Peru,1957,9146100
Peru,1962,10516500
Peru,1967,12132200
Peru,1972,13954700
Peru,1977,15990099
Peru,1982,18125129
Peru,1987,20195924
Peru,1992,22430449
Peru,1997,24748122
Peru,2002,26769436
Peru,2007,28674757
Philippines,1952,22438691
Philippines,1957,26072194
Philippines,1962,30325264
Philippines,1967,35356600
Philippines,1972,40850141
Philippines,1977,46850962
Philippines,1982,53456774
Philippines,1987,60017788
Philippines,1992,67185766
Philippines,1997,75012988
Philippines,2002,82995088
Philippines,2007,91077287
Poland,1952,25730551
Poland,1957,28235346
Poland,1962,30329617
Poland,1967,31785378
Poland,1972,33039545
Poland,1977,34621254
Poland,1982,36227381
Poland,1987,37740710
Poland,1992,38370697
Poland,1997,38654957
Poland,2002,38625976
Poland,2007,38518241
Portugal,1952,8526050
Portugal,1957,8817650
Portugal,1962,9019800
Portugal,1967,9103000
Portugal,1972,8970450
Portugal,1977,9662600
Portugal,1982,9859650
Portugal,1987,9915289
Portugal,1992,9927680
Portugal,1997,10156415
Portugal,2002,10433867
Portugal,2007,10642836
Puerto Rico,1952,2227000
Puerto Rico,1957,2260000
Puerto Rico,1962,2448046
Puerto Rico,1967,2648961
Puerto Rico,1972,2847132
Puerto Rico,1977,3080828
Puerto Rico,1982,3279001
Puerto Rico,1987,3444468
Puerto Rico,1992,3585176
Puerto Rico,1997,3759430
Puerto Rico,2002,3859606
Puerto Rico,2007,3942491
Reunion,1952,257700
Reunion,1957,308700
Reunion,1962,358900
Reunion,1967,414024
Reunion,1972,461633
Reunion,1977,492095
Reunion,1982,517810
Reunion,1987,562035
Reunion,1992,622191
Reunion,1997,684810
Reunion,2002,743981
Reunion,2007,798094
Romania,1952,16630000
Romania,1957,17829327
Romania,1962,18680721
Romania,1967,19284814
Romania,1972,20662648
Romania,1977,21658597
Romania,1982,22356726
Romania,1987,22686371
Romania,1992,22797027
Romania,1997,22562458
Romania,2002,22404337
Romania,2007,22276056
Rwanda,1952,2534927
Rwanda,1957,2822082
Rwanda,1962,3051242
Rwanda,1967,3451079
Rwanda,1972,3992121
Rwanda,1977,4657072
Rwanda,1982,5507565
Rwanda,1987,6349365
Rwanda,1992,7290203
Rwanda,1997,7212583
Rwanda,2002,7852401
Rwanda,2007,8860588
Sao Tome and Principe,1952,60011
Sao Tome and Principe,1957,61325
Sao Tome and Principe,1962,65345
Sao Tome and Principe,1967,70787
Sao Tome and Principe,1972,76595
Sao Tome and Principe,1977,86796
Sao Tome and Principe,1982,98593
Sao Tome and Principe,1987,110812
Sao Tome and Principe,1992,125911
Sao Tome and Principe,1997,145608
Sao Tome and Principe,2002,170372
Sao Tome and Principe,2007,199579
Saudi Arabia,1952,4005677
Saudi Arabia,1957,4419650
Saudi Arabia,1962,4943029
Saudi Arabia,1967,5618198
Saudi Arabia,1972,6472756
Saudi Arabia,1977,8128505
Saudi Arabia,1982,11254672
Saudi Arabia,1987,14619745
Saudi Arabia,1992,16945857
Saudi Arabia,1997,21229759
Saudi Arabia,2002,24501530
Saudi Arabia,2007,27601038
Senegal,1952,2755589
Senegal,1957,3054547
Senegal,1962,3430243
Senegal,1967,3965841
Senegal,1972,4588696
Senegal,1977,5260855
Senegal,1982,6147783
Senegal,1987,7171347
Senegal,1992,8307920
Senegal,1997,9535314
Senegal,2002,10870037
Senegal,2007,12267493
Serbia,1952,6860147
Serbia,1957,7271135
Serbia,1962,7616060
Serbia,1967,7971222
Serbia,1972,8313288
Serbia,1977,8686367
Serbia,1982,9032824
Serbia,1987,9230783
Serbia,1992,9826397
Serbia,1997,10336594
Serbia,2002,10111559
Serbia,2007,10150265
Sierra Leone,1952,2143249
Sierra Leone,1957,2295678
Sierra Leone,1962,2467895
Sierra Leone,1967,2662190
Sierra Leone,1972,2879013
Sierra Leone,1977,3140897
Sierra Leone,1982,3464522
Sierra Leone,1987,3868905
Sierra Leone,1992,4260884
Sierra Leone,1997,4578212
Sierra Leone,2002,5359092
Sierra Leone,2007,6144562
Singapore,1952,1127000
Singapore,1957,1445929
Singapore,1962,1750200
Singapore,1967,1977600
Singapore,1972,2152400
Singapore,1977,2325300
Singapore,1982,2651869
Singapore,1987,2794552
Singapore,1992,3235865
Singapore,1997,3802309
Singapore,2002,4197776
Singapore,2007,4553009
Slovak Republic,1952,3558137
Slovak Republic,1957,3844277
Slovak Republic,1962,4237384
Slovak Republic,1967,4442238
Slovak Republic,1972,4593433
Slovak Republic,1977,4827803
Slovak Republic,1982,5048043
Slovak Republic,1987,5199318
Slovak Republic,1992,5302888
Slovak Republic,1997,5383010
Slovak Republic,2002,5410052
Slovak Republic,2007,5447502
Slovenia,1952,1489518
Slovenia,1957,1533070
Slovenia,1962,1582962
Slovenia,1967,1646912
Slovenia,1972,1694510
Slovenia,1977,1746919
Slovenia,1982,1861252
Slovenia,1987,1945870
Slovenia,1992,1999210
Slovenia,1997,2011612
Slovenia,2002,2011497
Slovenia,2007,2009245
Somalia,1952,2526994
Somalia,1957,2780415
Somalia,1962,3080153
Somalia,1967,3428839
Somalia,1972,3840161
Somalia,1977,4353666
Somalia,1982,5828892
Somalia,1987,6921858
Somalia,1992,6099799
Somalia,1997,6633514
Somalia,2002,7753310
Somalia,2007,9118773
South Africa,1952,14264935
South Africa,1957,16151549
South Africa,1962,18356657
South Africa,1967,20997321
South Africa,1972,23935810
South Africa,1977,27129932
South Africa,1982,31140029
South Africa,1987,35933379
South Africa,1992,39964159
South Africa,1997,42835005
South Africa,2002,44433622
South Africa,2007,43997828
Spain,1952,28549870
Spain,1957,29841614
Spain,1962,31158061
Spain,1967,32850275
Spain,1972,34513161
Spain,1977,36439000
Spain,1982,37983310
Spain,1987,38880702
Spain,1992,39549438
Spain,1997,39855442
Spain,2002,40152517
Spain,2007,40448191
Sri Lanka,1952,7982342
Sri Lanka,1957,9128546
Sri Lanka,1962,10421936
Sri Lanka,1967,11737396
Sri Lanka,1972,13016733
Sri Lanka,1977,14116836
Sri Lanka,1982,15410151
Sri Lanka,1987,16495304
Sri Lanka,1992,17587060
Sri Lanka,1997,18698655
Sri Lanka,2002,19576783
Sri Lanka,2007,20378239
Sudan,1952,8504667
Sudan,1957,9753392
Sudan,1962,11183227
Sudan,1967,12716129
Sudan,1972,14597019
Sudan,1977,17104986
Sudan,1982,20367053
Sudan,1987,24725960
Sudan,1992,28227588
Sudan,1997,32160729
Sudan,2002,37090298
Sudan,2007,42292929
Swaziland,1952,290243
Swaziland,1957,326741
Swaziland,1962,370006
Swaziland,1967,420690
Swaziland,1972,480105
Swaziland,1977,551425
Swaziland,1982,649901
Swaziland,1987,779348
Swaziland,1992,962344
Swaziland,1997,1054486
Swaziland,2002,1130269
Swaziland,2007,1133066
Sweden,1952,7124673
Sweden,1957,7363802
Sweden,1962,7561588
Sweden,1967,7867931
Sweden,1972,8122293
Sweden,1977,8251648
Sweden,1982,8325260
Sweden,1987,8421403
Sweden,1992,8718867
Sweden,1997,8897619
Sweden,2002,8954175
Sweden,2007,9031088
Switzerland,1952,4815000
Switzerland,1957,5126000
Switzerland,1962,5666000
Switzerland,1967,6063000
Switzerland,1972,6401400
Switzerland,1977,6316424
Switzerland,1982,6468126
Switzerland,1987,6649942
Switzerland,1992,6995447
Switzerland,1997,7193761
Switzerland,2002,7361757
Switzerland,2007,7554661
Syria,1952,3661549
Syria,1957,4149908
Syria,1962,4834621
Syria,1967,5680812
Syria,1972,6701172
Syria,1977,7932503
Syria,1982,9410494
Syria,1987,11242847
Syria,1992,13219062
Syria,1997,15081016
Syria,2002,17155814
Syria,2007,19314747
Taiwan,1952,8550362
Taiwan,1957,10164215
Taiwan,1962,11918938
Taiwan,1967,13648692
Taiwan,1972,15226039
Taiwan,1977,16785196
Taiwan,1982,18501390
Taiwan,1987,19757799
Taiwan,1992,20686918
Taiwan,1997,21628605
Taiwan,2002,22454239
Taiwan,2007,23174294
Tanzania,1952,8322925
Tanzania,1957,9452826
Tanzania,1962,10863958
Tanzania,1967,12607312
Tanzania,1972,14706593
Tanzania,1977,17129565
Tanzania,1982,19844382
Tanzania,1987,23040630
Tanzania,1992,26605473
Tanzania,1997,30686889
Tanzania,2002,34593779
Tanzania,2007,38139640
Thailand,1952,21289402
Thailand,1957,25041917
Thailand,1962,29263397
Thailand,1967,34024249
Thailand,1972,39276153
Thailand,1977,44148285
Thailand,1982,48827160
Thailand,1987,52910342
Thailand,1992,56667095
Thailand,1997,60216677
Thailand,2002,62806748
Thailand,2007,65068149
Togo,1952,1219113
Togo,1957,1357445
Togo,1962,1528098
Togo,1967,1735550
Togo,1972,2056351
Togo,1977,2308582
Togo,1982,2644765
Togo,1987,3154264
Togo,1992,3747553
Togo,1997,4320890
Togo,2002,4977378
Togo,2007,5701579
Trinidad and Tobago,1952,662850
Trinidad and Tobago,1957,764900
Trinidad and Tobago,1962,887498
Trinidad and Tobago,1967,960155
Trinidad and Tobago,1972,975199
Trinidad and Tobago,1977,1039009
Trinidad and Tobago,1982,1116479
Trinidad and Tobago,1987,1191336
Trinidad and Tobago,1992,1183669
Trinidad and Tobago,1997,1138101
Trinidad and Tobago,2002,1101832
Trinidad and Tobago,2007,1056608
Tunisia,1952,3647735
Tunisia,1957,3950849
Tunisia,1962,4286552
Tunisia,1967,4786986
Tunisia,1972,5303507
Tunisia,1977,6005061
Tunisia,1982,6734098
Tunisia,1987,7724976
Tunisia,1992,8523077
Tunisia,1997,9231669
Tunisia,2002,9770575
Tunisia,2007,10276158
Turkey,1952,22235677
Turkey,1957,25670939
Turkey,1962,29788695
Turkey,1967,33411317
Turkey,1972,37492953
Turkey,1977,42404033
Turkey,1982,47328791
Turkey,1987,52881328
Turkey,1992,58179144
Turkey,1997,63047647
Turkey,2002,67308928
Turkey,2007,71158647
Uganda,1952,5824797
Uganda,1957,6675501
Uganda,1962,7688797
Uganda,1967,8900294
Uganda,1972,10190285
Uganda,1977,11457758
Uganda,1982,12939400
Uganda,1987,15283050
Uganda,1992,18252190
Uganda,1997,21210254
Uganda,2002,24739869
Uganda,2007,29170398
United Kingdom,1952,50430000
United Kingdom,1957,51430000
United Kingdom,1962,53292000
United Kingdom,1967,54959000
United Kingdom,1972,56079000
United Kingdom,1977,56179000
United Kingdom,1982,56339704
United Kingdom,1987,56981620
United Kingdom,1992,57866349
United Kingdom,1997,58808266
United Kingdom,2002,59912431
United Kingdom,2007,60776238
United States,1952,157553000
United States,1957,171984000
United States,1962,186538000
United States,1967,198712000
United States,1972,209896000
United States,1977,220239000
United States,1982,232187835
United States,1987,242803533
United States,1992,256894189
United States,1997,272911760
United States,2002,287675526
United States,2007,301139947
Uruguay,1952,2252965
Uruguay,1957,2424959
Uruguay,1962,2598466
Uruguay,1967,2748579
Uruguay,1972,2829526
Uruguay,1977,2873520
Uruguay,1982,2953997
Uruguay,1987,3045153
Uruguay,1992,3149262
Uruguay,1997,3262838
Uruguay,2002,3363085
Uruguay,2007,3447496
Venezuela,1952,5439568
Venezuela,1957,6702668
Venezuela,1962,8143375
Venezuela,1967,9709552
Venezuela,1972,11515649
Venezuela,1977,13503563
Venezuela,1982,15620766
Venezuela,1987,17910182
Venezuela,1992,20265563
Venezuela,1997,22374398
Venezuela,2002,24287670
Venezuela,2007,26084662
Vietnam,1952,26246839
Vietnam,1957,28998543
Vietnam,1962,33796140
Vietnam,1967,39463910
Vietnam,1972,44655014
Vietnam,1977,50533506
Vietnam,1982,56142181
Vietnam,1987,62826491
Vietnam,1992,69940728
Vietnam,1997,76048996
Vietnam,2002,80908147
Vietnam,2007,85262356
West Bank and Gaza,1952,1030585
West Bank and Gaza,1957,1070439
West Bank and Gaza,1962,1133134
West Bank and Gaza,1967,1142636
West Bank and Gaza,1972,1089572
West Bank and Gaza,1977,1261091
West Bank and Gaza,1982,1425876
West Bank and Gaza,1987,1691210
West Bank and Gaza,1992,2104779
West Bank and Gaza,1997,2826046
West Bank and Gaza,2002,3389578
West Bank and Gaza,2007,4018332
"Yemen, Rep.",1952,4963829
"Yemen, Rep.",1957,5498090
"Yemen, Rep.",1962,6120081
"Yemen, Rep.",1967,6740785
"Yemen, Rep.",1972,7407075
"Yemen, Rep.",1977,8403990
"Yemen, Rep.",1982,9657618
"Yemen, Rep.",1987,11219340
"Yemen, Rep.",1992,13367997
"Yemen, Rep.",1997,15826497
"Yemen, Rep.",2002,18701257
"Yemen, Rep.",2007,22211743
Zambia,1952,2672000
Zambia,1957,3016000
Zambia,1962,3421000
Zambia,1967,3900000
Zambia,1972,4506497
Zambia,1977,5216550
Zambia,1982,6100407
Zambia,1987,7272406
Zambia,1992,8381163
Zambia,1997,9417789
Zambia,2002,10595811
Zambia,2007,11746035
Zimbabwe,1952,3080907
Zimbabwe,1957,3646340
Zimbabwe,1962,4277736
Zimbabwe,1967,4995432
Zimbabwe,1972,5861135
Zimbabwe,1977,6642107
Zimbabwe,1982,7636524
Zimbabwe,1987,9216418
Zimbabwe,1992,10704340
Zimbabwe,1997,11404948
Zimbabwe,2002,11926563
Zimbabwe,2007,12311143
